id,class
00022e97c90898c02a25579be,non_venomous
000816b96db153cc47dfb79db,non_venomous
001d2fe5ca243c138472d130b,venomous
001e3329abba16fb91ee4d47f,non_venomous
0026cf1ed9556341340419b19,venomous
0027e2858be5d480a3780a8bd,non_venomous
002aa3a6a9b2baffa4740300f,non_venomous
004135e21927a80214325bfa5,venomous
0047d5087ffbfc55814f2d3b3,venomous
0059a533bb6abd58d1cb6e54c,venomous
005ef415f6bb61156f6924d7e,non_venomous
00606c84f43ffb9f4adfa3290,non_venomous
0062f5391e8066d0e64daa8a7,venomous
006605caff5bbf14937a7bdd3,venomous
006e014be6f92476d9da7fb10,non_venomous
00731f0be8fc9fbfdc80f9cba,non_venomous
0073b35943d242055d22519ee,non_venomous
0073bfae5968d529addd0d116,non_venomous
0081e50ebd17e3ac0a77568f5,non_venomous
00830830b5d046486d3790d95,venomous
008518db6ee0f5635076fe2ae,non_venomous
008a532d5e05c8fa262fd4af9,venomous
008c6bb126e0cc11d8129468f,non_venomous
00936444dbbcd6e575111acb3,venomous
0099d3e6c6dabf3e04ecf1e06,non_venomous
009b3d00a7a635e6999364878,non_venomous
00a573de986c6a43ddfcff16a,venomous
00a6b8c04896234b859fefa4e,venomous
00bef3a32c9254fc2c888d5c7,venomous
00c0364d19e3c5f5a0a702de5,non_venomous
00c1c2d282707ec7409927631,non_venomous
00c60b7518d567c0b2b76fcc6,venomous
00cd97e1c8ccca0c890bef00a,venomous
00cdbaf4adbecc8e9a6272df0,venomous
00d4b8d8fad3798f0b1f5ac10,venomous
00d4e5638939a9f0f931aaea8,non_venomous
00d7c304f4b91e4b66db63f52,venomous
00d8cdbc3e77ed8451ae91c9e,venomous
00df95f1e4f2482ada22022ee,non_venomous
00e9dce5bfe3535999ca3429b,venomous
00f7b6f4f532718b6fdddf53c,venomous
00f8e8460b6dd84f76513dc93,venomous
00f97f8e412f39e8fa61ca70b,venomous
00fba4377728813ff99571f1e,venomous
00fd7e2e8ba26ad0591f815dd,non_venomous
0105c3b9376cd8de473f0bfe5,non_venomous
0106badd6099fbf9b6da227c6,non_venomous
01089d85c4f1346fcceca8464,venomous
010b74a2d1f3e51b37595a1ee,venomous
0112686e9586b13f879314764,non_venomous
011ca9bfc6967bf742e96bf1a,non_venomous
011d0b8f79555f556cea6f7f5,non_venomous
011fb3e96805e0e5c752ec358,non_venomous
0120a292a92c0b1736a11bc42,non_venomous
0123af03ef0f6336e43655e63,non_venomous
012aec10c3fd9b53d13f8d63c,venomous
012ebbd808e64622c5e4e5880,non_venomous
0131c22c4cbdc58e012867731,venomous
0139109212798e53f42fffc5f,venomous
013a9cf5e35267e60dd8a84a4,non_venomous
013cc7dfe6fe8dafac742f58b,venomous
013cea8432f7fef29a1e6b3e7,non_venomous
013e8868c126cd480c6654c6c,non_venomous
01405b39e93114ef474142c46,non_venomous
014181e3225c5c9f129f2c368,non_venomous
01430f5fcc7af50d4bcf24b85,non_venomous
01437a315446779cd039d2ad9,venomous
014446e28f355d6ab045682b9,non_venomous
014498ecb3de5fb0378fc1570,non_venomous
0152fafd037efd92d8bb07d22,non_venomous
0155b26d9ebdeb62aad6f6c49,non_venomous
0156362517e52c797072fe2ee,non_venomous
015884f898d7b487a070c54a1,venomous
015ccd4412700f6f01f6f39c7,non_venomous
015fb5581ea91937e3b577fb4,venomous
01640a2f90e90dbab53daf2ec,non_venomous
016927bc43866ad6fc3adb65f,non_venomous
016b6ebb50ee36a365216160f,venomous
016bf950a598641549f5160b2,venomous
016f2d4727f596f150eb6624d,non_venomous
016fec11e279549d6c5e42450,non_venomous
0171261604d6457b8f0830b24,venomous
01732c3f6bdc44966ccbc0679,venomous
018a8ead3e6ff6504f9ce4d20,venomous
018aa095428e3d76f6ee412a4,non_venomous
018b10480205c7104a8d42517,non_venomous
018bc4ebea6ec646abceffef6,venomous
01924cda94a4e28eb0057457b,venomous
019361054bd5292cf9a7eb998,non_venomous
019669968a5f243a733ec5b3f,venomous
0199a7dd666e2d7a4abb5d1b4,non_venomous
0199b27439eab6b1ef15ea33b,non_venomous
019a0de3c48a72808a2e27926,non_venomous
019e1657de60f7712dddaa9cf,non_venomous
01a1d075458485c8704703396,non_venomous
01a28427700d55f158f6a0968,non_venomous
01a2cd4ab515d21b1120d7651,venomous
01a3d9c8bf531bd97efae5e22,non_venomous
01a830712cc8b35473464bd5a,non_venomous
01a9b38b39213943c6f6370e3,non_venomous
01ac47fec1210ed3fcb5d01c5,non_venomous
01aefdd26722b0d52aa69d651,venomous
01c28d89bfb31b1dc874e3090,venomous
01c3d04a225b814e020ce67ec,non_venomous
01c641ca78288938518d169b7,non_venomous
01cce9e868aa3f65030c4efb3,non_venomous
01d4a1108ff2e53f3ccb8fd6f,venomous
01ddc54b904e884fca03f36f1,venomous
01dec348dbda29424bad3f570,non_venomous
01df94ba9c33023500e8577af,non_venomous
01e0de8c2bf66f541c50244e1,non_venomous
01ebb4b38bd81ebf47c560944,non_venomous
01ec7da0caf14df13ba462d58,non_venomous
01ee316103b39c8dc545f9dab,venomous
01ee6d6165b70a066c37d065c,venomous
01f44e12111fc9e79ce88db6f,non_venomous
01fafce3f2ea0e5e4b50f1f09,non_venomous
01fda43fdd262c4cc186e1de2,venomous
02054b62e4debceffa2ccab96,venomous
02075f3e61aa02e3eb54e6471,venomous
02088207aca377d6b76d5d8c0,venomous
020e16dc10ae1972bc6523148,non_venomous
021bc2275c036a76bdc48ad96,non_venomous
021bc9ec66b64746a4887cf03,non_venomous
021ec14d4adafa92de1d5f61f,non_venomous
0222947a2a6881e68674a9ccd,venomous
02270e9b64c4295ccfb7c3e71,non_venomous
022796b744b5e6e53a1df0c27,venomous
0228bdc4aee3bf06843837cd4,non_venomous
